Género,epíteto específico,Color_1,Color_2,Color_3,Láminas,Poros,Dientes,Pliegues,Gasteroide,Plato-cuenco-olla,Pie-sombrero-no-tipico,Nido,Gelatinosas,Coral-coliflor,Embudo-c/s-hendidura,Porra,Porra con cabeza,Clavo,Repisa-leñosos,Costra,Falos hediondos,Otros,Líquenes,Myxomycetos
Auricularia,auricula-judae,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Auricularia,delicata,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Auricularia,nigricans,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Auricularia,polytricha,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Battarrea,phalloides,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Boletus,edulis,35.24 20.4 27.22,93.43 0.72 8.95,88.76 0.71 21.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boletinellus,rompelli,35.86 14.31 19.99,85.46 -15.9 81.57,38.87 14.84 43.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bovistella,utriformis,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calocera,cornea,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Caloplaca,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Calvatia,bicolor,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvatia,cyathiformis,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvatia,cyathiformis var. chilensis,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvatia,fragilis,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvatia,gigantea,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvatia,rugosa,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calycina,citrina,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratiomyxa,fructiculosa,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cerrena,unicolor,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chalciporus,piperatus,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorociboria,aeruginascens,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
